series_id,year,period,value,data_type,region,item,date
CUUR0000SA0,1988,M01,115.7,CPI (Unadjusted),National,All items,1988-01-01
CUUR0000SA0,1987,M12,115.4,CPI (Unadjusted),National,All items,1987-12-01
CUUR0000SA0,1987,M11,115.4,CPI (Unadjusted),National,All items,1987-11-01
CUUR0000SA0,1987,M10,115.3,CPI (Unadjusted),National,All items,1987-10-01
CUUR0000SA0,1987,M09,115.0,CPI (Unadjusted),National,All items,1987-09-01
CUUR0000SA0,1987,M08,114.4,CPI (Unadjusted),National,All items,1987-08-01
CUUR0000SA0,1987,M07,113.8,CPI (Unadjusted),National,All items,1987-07-01
CUUR0000SA0,1987,M06,113.5,CPI (Unadjusted),National,All items,1987-06-01
CUUR0000SA0,1987,M05,113.1,CPI (Unadjusted),National,All items,1987-05-01
CUUR0000SA0,1987,M04,112.7,CPI (Unadjusted),National,All items,1987-04-01
CUUR0000SA0,1987,M03,112.1,CPI (Unadjusted),National,All items,1987-03-01
CUUR0000SA0,1987,M02,111.6,CPI (Unadjusted),National,All items,1987-02-01
CUUR0000SA0,1987,M01,111.2,CPI (Unadjusted),National,All items,1987-01-01
CUUR0000SA0,1986,M12,110.5,CPI (Unadjusted),National,All items,1986-12-01
CUUR0000SA0,1986,M11,110.4,CPI (Unadjusted),National,All items,1986-11-01
CUUR0000SA0,1986,M10,110.3,CPI (Unadjusted),National,All items,1986-10-01
CUUR0000SA0,1986,M09,110.2,CPI (Unadjusted),National,All items,1986-09-01
CUUR0000SA0,1986,M08,109.7,CPI (Unadjusted),National,All items,1986-08-01
CUUR0000SA0,1986,M07,109.5,CPI (Unadjusted),National,All items,1986-07-01
CUUR0000SA0,1986,M06,109.5,CPI (Unadjusted),National,All items,1986-06-01
CUUR0000SA0,1986,M05,108.9,CPI (Unadjusted),National,All items,1986-05-01
CUUR0000SA0,1986,M04,108.6,CPI (Unadjusted),National,All items,1986-04-01
CUUR0000SA0,1986,M03,108.8,CPI (Unadjusted),National,All items,1986-03-01
CUUR0000SA0,1986,M02,109.3,CPI (Unadjusted),National,All items,1986-02-01
CUUR0000SA0,1986,M01,109.6,CPI (Unadjusted),National,All items,1986-01-01
CUUR0000SA0,1985,M12,109.3,CPI (Unadjusted),National,All items,1985-12-01
CUUR0000SA0,1985,M11,109.0,CPI (Unadjusted),National,All items,1985-11-01
CUUR0000SA0,1985,M10,108.7,CPI (Unadjusted),National,All items,1985-10-01
CUUR0000SA0,1985,M09,108.3,CPI (Unadjusted),National,All items,1985-09-01
CUUR0000SA0,1985,M08,108.0,CPI (Unadjusted),National,All items,1985-08-01
CUUR0000SA0,1985,M07,107.8,CPI (Unadjusted),National,All items,1985-07-01
CUUR0000SA0,1985,M06,107.6,CPI (Unadjusted),National,All items,1985-06-01
CUUR0000SA0,1985,M05,107.3,CPI (Unadjusted),National,All items,1985-05-01
CUUR0000SA0,1985,M04,106.9,CPI (Unadjusted),National,All items,1985-04-01
CUUR0000SA0,1985,M03,106.4,CPI (Unadjusted),National,All items,1985-03-01
CUUR0000SA0,1985,M02,106.0,CPI (Unadjusted),National,All items,1985-02-01
CUUR0000SA0,1985,M01,105.5,CPI (Unadjusted),National,All items,1985-01-01
CUUR0000SA0,1984,M12,105.3,CPI (Unadjusted),National,All items,1984-12-01
CUUR0000SA0,1984,M11,105.3,CPI (Unadjusted),National,All items,1984-11-01
CUUR0000SA0,1984,M10,105.3,CPI (Unadjusted),National,All items,1984-10-01
CUUR0000SA0,1984,M09,105.0,CPI (Unadjusted),National,All items,1984-09-01
CUUR0000SA0,1984,M08,104.5,CPI (Unadjusted),National,All items,1984-08-01
CUUR0000SA0,1984,M07,104.1,CPI (Unadjusted),National,All items,1984-07-01
CUUR0000SA0,1984,M06,103.7,CPI (Unadjusted),National,All items,1984-06-01
CUUR0000SA0,1984,M05,103.4,CPI (Unadjusted),National,All items,1984-05-01
CUUR0000SA0,1984,M04,103.1,CPI (Unadjusted),National,All items,1984-04-01
CUUR0000SA0,1984,M03,102.6,CPI (Unadjusted),National,All items,1984-03-01
CUUR0000SA0,1984,M02,102.4,CPI (Unadjusted),National,All items,1984-02-01
CUUR0000SA0,1984,M01,101.9,CPI (Unadjusted),National,All items,1984-01-01
CUUR0000SA0,1983,M12,101.3,CPI (Unadjusted),National,All items,1983-12-01
CUUR0000SA0,1983,M11,101.2,CPI (Unadjusted),National,All items,1983-11-01
CUUR0000SA0,1983,M10,101.0,CPI (Unadjusted),National,All items,1983-10-01
CUUR0000SA0,1983,M09,100.7,CPI (Unadjusted),National,All items,1983-09-01
CUUR0000SA0,1983,M08,100.2,CPI (Unadjusted),National,All items,1983-08-01
CUUR0000SA0,1983,M07,99.9,CPI (Unadjusted),National,All items,1983-07-01
CUUR0000SA0,1983,M06,99.5,CPI (Unadjusted),National,All items,1983-06-01
CUUR0000SA0,1983,M05,99.2,CPI (Unadjusted),National,All items,1983-05-01
CUUR0000SA0,1983,M04,98.6,CPI (Unadjusted),National,All items,1983-04-01
CUUR0000SA0,1983,M03,97.9,CPI (Unadjusted),National,All items,1983-03-01
CUUR0000SA0,1983,M02,97.9,CPI (Unadjusted),National,All items,1983-02-01
CUUR0000SA0,1983,M01,97.8,CPI (Unadjusted),National,All items,1983-01-01
CUUR0000SA0,1982,M12,97.6,CPI (Unadjusted),National,All items,1982-12-01
CUUR0000SA0,1982,M11,98.0,CPI (Unadjusted),National,All items,1982-11-01
CUUR0000SA0,1982,M10,98.2,CPI (Unadjusted),National,All items,1982-10-01
CUUR0000SA0,1982,M09,97.9,CPI (Unadjusted),National,All items,1982-09-01
CUUR0000SA0,1982,M08,97.7,CPI (Unadjusted),National,All items,1982-08-01
CUUR0000SA0,1982,M07,97.5,CPI (Unadjusted),National,All items,1982-07-01
CUUR0000SA0,1982,M06,97.0,CPI (Unadjusted),National,All items,1982-06-01
CUUR0000SA0,1982,M05,95.8,CPI (Unadjusted),National,All items,1982-05-01
CUUR0000SA0,1982,M04,94.9,CPI (Unadjusted),National,All items,1982-04-01
CUUR0000SA0,1982,M03,94.5,CPI (Unadjusted),National,All items,1982-03-01
CUUR0000SA0,1982,M02,94.6,CPI (Unadjusted),National,All items,1982-02-01
CUUR0000SA0,1982,M01,94.3,CPI (Unadjusted),National,All items,1982-01-01
CUUR0000SA0,1981,M12,94.0,CPI (Unadjusted),National,All items,1981-12-01
CUUR0000SA0,1981,M11,93.7,CPI (Unadjusted),National,All items,1981-11-01
CUUR0000SA0,1981,M10,93.4,CPI (Unadjusted),National,All items,1981-10-01
CUUR0000SA0,1981,M09,93.2,CPI (Unadjusted),National,All items,1981-09-01
CUUR0000SA0,1981,M08,92.3,CPI (Unadjusted),National,All items,1981-08-01
CUUR0000SA0,1981,M07,91.6,CPI (Unadjusted),National,All items,1981-07-01
CUUR0000SA0,1981,M06,90.6,CPI (Unadjusted),National,All items,1981-06-01
CUUR0000SA0,1981,M05,89.8,CPI (Unadjusted),National,All items,1981-05-01
CUUR0000SA0,1981,M04,89.1,CPI (Unadjusted),National,All items,1981-04-01
CUUR0000SA0,1981,M03,88.5,CPI (Unadjusted),National,All items,1981-03-01
CUUR0000SA0,1981,M02,87.9,CPI (Unadjusted),National,All items,1981-02-01
CUUR0000SA0,1981,M01,87.0,CPI (Unadjusted),National,All items,1981-01-01
CUUR0000SA0,1980,M12,86.3,CPI (Unadjusted),National,All items,1980-12-01
CUUR0000SA0,1980,M11,85.5,CPI (Unadjusted),National,All items,1980-11-01
CUUR0000SA0,1980,M10,84.8,CPI (Unadjusted),National,All items,1980-10-01
CUUR0000SA0,1980,M09,84.0,CPI (Unadjusted),National,All items,1980-09-01
CUUR0000SA0,1980,M08,83.3,CPI (Unadjusted),National,All items,1980-08-01
CUUR0000SA0,1980,M07,82.7,CPI (Unadjusted),National,All items,1980-07-01
CUUR0000SA0,1980,M06,82.7,CPI (Unadjusted),National,All items,1980-06-01
CUUR0000SA0,1980,M05,81.8,CPI (Unadjusted),National,All items,1980-05-01
CUUR0000SA0,1980,M04,81.0,CPI (Unadjusted),National,All items,1980-04-01
CUUR0000SA0,1980,M03,80.1,CPI (Unadjusted),National,All items,1980-03-01
CUUR0000SA0,1980,M02,78.9,CPI (Unadjusted),National,All items,1980-02-01
CUUR0000SA0,1980,M01,77.8,CPI (Unadjusted),National,All items,1980-01-01
CUUR0000SA0,1979,M12,76.7,CPI (Unadjusted),National,All items,1979-12-01
CUUR0000SA0,1979,M11,75.9,CPI (Unadjusted),National,All items,1979-11-01
CUUR0000SA0,1979,M10,75.2,CPI (Unadjusted),National,All items,1979-10-01
CUUR0000SA0,1979,M09,74.6,CPI (Unadjusted),National,All items,1979-09-01
CUUR0000SA0,1979,M08,73.8,CPI (Unadjusted),National,All items,1979-08-01
CUUR0000SA0,1979,M07,73.1,CPI (Unadjusted),National,All items,1979-07-01
CUUR0000SA0,1979,M06,72.3,CPI (Unadjusted),National,All items,1979-06-01
CUUR0000SA0,1979,M05,71.5,CPI (Unadjusted),National,All items,1979-05-01
CUUR0000SA0,1979,M04,70.6,CPI (Unadjusted),National,All items,1979-04-01
CUUR0000SA0,1979,M03,69.8,CPI (Unadjusted),National,All items,1979-03-01
CUUR0000SA0,1979,M02,69.1,CPI (Unadjusted),National,All items,1979-02-01
CUUR0000SA0,1979,M01,68.3,CPI (Unadjusted),National,All items,1979-01-01
CUUR0000SA0L1E,1998,M12,174.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-12-01
CUUR0000SA0L1E,1998,M11,174.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-11-01
CUUR0000SA0L1E,1998,M10,174.7,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-10-01
CUUR0000SA0L1E,1998,M09,174.2,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-09-01
CUUR0000SA0L1E,1998,M08,173.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-08-01
CUUR0000SA0L1E,1998,M07,173.3,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-07-01
CUUR0000SA0L1E,1998,M06,173.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-06-01
CUUR0000SA0L1E,1998,M05,173.1,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-05-01
CUUR0000SA0L1E,1998,M04,173.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-04-01
CUUR0000SA0L1E,1998,M03,172.6,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-03-01
CUUR0000SA0L1E,1998,M02,172.1,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-02-01
CUUR0000SA0L1E,1998,M01,171.2,CPI (Unadjusted),National,Core CPI (excludes food & energy),1998-01-01
CUUR0000SA0L1E,1997,M12,170.7,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-12-01
CUUR0000SA0L1E,1997,M11,170.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-11-01
CUUR0000SA0L1E,1997,M10,170.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-10-01
CUUR0000SA0L1E,1997,M09,170.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-09-01
CUUR0000SA0L1E,1997,M08,169.6,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-08-01
CUUR0000SA0L1E,1997,M07,169.5,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-07-01
CUUR0000SA0L1E,1997,M06,169.2,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-06-01
CUUR0000SA0L1E,1997,M05,169.3,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-05-01
CUUR0000SA0L1E,1997,M04,169.4,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-04-01
CUUR0000SA0L1E,1997,M03,169.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-03-01
CUUR0000SA0L1E,1997,M02,168.3,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-02-01
CUUR0000SA0L1E,1997,M01,167.5,CPI (Unadjusted),National,Core CPI (excludes food & energy),1997-01-01
CUUR0000SA0L1E,1996,M12,167.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-12-01
